sentence,labels,scores,ESG
"some examples of the steps we have taken, or are taking, include:   launched the airbnb supplier sustainability program.","['corporate compliance', 'natural resources', 'emissions', 'transparancy', 'philanthropy', 'board accountability', 'diversity and inclusion', 'pollution', 'health and safety', 'training and education']","[0.3379100504962875, 0.14217916408596368, 0.11416429313316888, 0.10284933262872545, 0.09730911398740137, 0.08283660429121391, 0.07643358623691271, 0.026001836202352864, 0.011114040564088268, 0.009201978373885365]","['G', 'E', 'E', 'G', 'S', 'G', 'S', 'E', 'S', 'S']"
"with this program, were engaging suppliers to drive down their emissions.","['emissions', 'pollution', 'corporate compliance', 'natural resources', 'transparancy', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.24537741921530046, 0.22791665087671859, 0.22302899555667816, 0.15201622357969533, 0.08211225997566539, 0.048468226379994844, 0.01773997611360748, 0.0017929194851410036, 0.001213269247783005, 0.0003340595694157521]","['E', 'E', 'G', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
"the program will ask suppliers, beginning with some of our largest, to commit to measuring and reporting their ghg emissions and implementing or maintaining emissions reduction plans.","['emissions', 'corporate compliance', 'pollution', 'natural resources', 'board accountability', 'transparancy', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.2354320985120655, 0.22934844131853527, 0.22893263770992167, 0.17543483911647614, 0.05789387664035189, 0.03257464458876319, 0.025440713271911213, 0.01103143118643886, 0.002029424120214695, 0.0018818935353215273]","['E', 'G', 'E', 'E', 'G', 'G', 'S', 'S', 'S', 'S']"
this will help us address the largest source of our scope 3 corporate emissions.,"['emissions', 'pollution', 'transparancy', 'corporate compliance', 'natural resources', 'board accountability', 'health and safety', 'philanthropy', 'diversity and inclusion', 'training and education']","[0.36134325958561603, 0.35059618262291037, 0.11433948695157341, 0.0935324609698746, 0.03755479513096375, 0.021706620398190882, 0.015368187845088992, 0.002921047544709094, 0.002190834673306273, 0.00044712427776663014]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
consolidating our cloud computing footprint towards cloud service providers with stronger  environmental performance.,"['emissions', 'natural resources', 'transparancy', 'pollution', 'corporate compliance', 'health and safety', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.33359806919109397, 0.27513620172112896, 0.23022419830685115, 0.08659323685840094, 0.04605720374071689, 0.01908995001480414, 0.004406431039547411, 0.0042845887380615925, 0.00045515412891390243, 0.0001549662604810653]","['E', 'E', 'G', 'E', 'G', 'S', 'G', 'S', 'S', 'S']"
"launched our new live and work anywhere approach, which we expect to help drive emissions reductions as employees who choose to continue working from home can eliminate their commutes.","['emissions', 'pollution', 'transparancy', 'natural resources', 'diversity and inclusion', 'corporate compliance', 'health and safety', 'board accountability', 'philanthropy', 'training and education']","[0.2646743109931436, 0.24913954548704215, 0.19374637072838718, 0.18527366489382788, 0.041432693703333995, 0.033218912911764965, 0.020927115770389332, 0.008162521648729262, 0.003019475667817382, 0.0004053881955642724]","['E', 'E', 'G', 'E', 'S', 'G', 'S', 'G', 'S', 'S']"
"we also introduced a revamped approach to employee travel, including a new travel policy and travel  limits, and we continue exploring ways to further reduce emissions associated with employee business travel.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3405113887710194, 0.26673321528377136, 0.1398280800027088, 0.08181041292983215, 0.07147009840467351, 0.06904063155087975, 0.02166329938784157, 0.0061696781749893265, 0.0023919475267670715, 0.00038124796751707885]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"expanded our renewable energy procurement beyond our offices to include estimated work-from- home electricity usage for our global employee base, as many employees now work from home.","['natural resources', 'emissions', 'transparancy', 'corporate compliance', 'diversity and inclusion', 'board accountability', 'pollution', 'philanthropy', 'health and safety', 'training and education']","[0.27397294734462, 0.21703453195695227, 0.16093868799877173, 0.133248347682574, 0.10861105732093804, 0.043661038691535, 0.034227990334977185, 0.016346775042929328, 0.010351574283289465, 0.0016070493434129946]","['E', 'E', 'G', 'G', 'S', 'G', 'E', 'S', 'S', 'S']"
we are addressing these emissions even though renewable energy purchased for these initiatives is not able to be reflected as scope 3 emissions reductions under ghg protocol guidance.,"['emissions', 'pollution', 'transparancy', 'corporate compliance', 'natural resources', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.2796984186479281, 0.26960264089332386, 0.18369699479384496, 0.08919458703371064, 0.08862161053301727, 0.06868951891872377, 0.008988194909078222, 0.008614452000930303, 0.002665171033578715, 0.00022841123586413265]","['E', 'E', 'G', 'G', 'E', 'G', 'S', 'S', 'S', 'S']"
"in addition, were offering renewable energy options to employees in some countries to help them to further reduce their at-home emissions.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy', 'training and education']","[0.34142049391280804, 0.3038976311355595, 0.1760322136214253, 0.10502256709548592, 0.04407915759832793, 0.010733364902150495, 0.008978373066703042, 0.005002697164098463, 0.004026829497222956, 0.0008066720062183685]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"7 investing in natural ecosystems and protecting biodiversity in addition to reducing corporate emissions, we also recognize there is an urgent need to protect the natural world and preserve biodiversity.","['natural resources', 'transparancy', 'diversity and inclusion', 'philanthropy', 'pollution', 'emissions', 'board accountability', 'health and safety', 'training and education', 'corporate compliance']","[0.35991482409395287, 0.32950667976782877, 0.21856615126142304, 0.06597435836979557, 0.01261020317655635, 0.00714516058780382, 0.0032745386408477247, 0.0022942845275382806, 0.00046231706995823984, 0.0002514825042953757]","['E', 'G', 'S', 'S', 'E', 'E', 'G', 'S', 'S', 'G']"
"thats why we are also investing in high quality, nature-based solutions that can help protect ecosystems, wildlife, and indigenous ways of life, while also offsetting our residual emissions.","['natural resources', 'emissions', 'pollution', 'transparancy', 'philanthropy', 'diversity and inclusion', 'board accountability', 'health and safety', 'corporate compliance', 'training and education']","[0.2618365044612201, 0.2409047500418818, 0.16731951275837686, 0.14285129202672125, 0.13776153087636603, 0.03103338299670088, 0.01685298838620563, 0.0007667114206877731, 0.0005431273141041464, 0.0001301997177355417]","['E', 'E', 'E', 'G', 'S', 'S', 'G', 'S', 'G', 'S']"
our work includes:   helping to fund the protection of tropical forests around the world through our participation in the lowering emissions by accelerating forest finance (leaf) coalition.,"['natural resources', 'philanthropy', 'emissions', 'pollution', 'transparancy', 'board accountability', 'diversity and inclusion', 'health and safety', 'corporate compliance', 'training and education']","[0.5675009153141158, 0.2856527921095788, 0.1056003729994657, 0.017497944645800904, 0.016719580247776138, 0.00369965210750433, 0.0027122430281665555, 0.0004166386296226359, 0.00016456408622271803, 3.5296831746397554e-05]","['E', 'S', 'E', 'E', 'G', 'G', 'S', 'S', 'G', 'S']"
leaf is an ambitious new public-private initiative that has mobilized $1 billion in corporate and government commitments to fight tropical deforestation.,"['natural resources', 'philanthropy', 'emissions', 'pollution', 'transparancy', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'health and safety', 'training and education']","[0.32394343123039326, 0.2512206274231375, 0.24544782212019894, 0.12925778738586846, 0.016083182582701614, 0.015522340635958191, 0.009970489924641543, 0.007199664242100561, 0.0010603318813944046, 0.0002943225736054984]","['E', 'S', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S']"
"we are beginning to purchase third-party reviewed and certified carbon credits to promote nature- based solutions, and plan to increase this investment over time to address the residual emissions that we are unable to reduce.","['emissions', 'pollution', 'natural resources', 'corporate compliance', 'transparancy', 'board accountability', 'philanthropy', 'diversity and inclusion', 'health and safety', 'training and education']","[0.26351800159356686, 0.24233718517193256, 0.23000404174160488, 0.12006279966220468, 0.05821259242785998, 0.0473237876732087, 0.02275428470090714, 0.008987418629594407, 0.006712581752900899, 8.73066462198996e-05]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"we are committed to supporting credible, high-quality projects that are (1) accredited through independent third-party organizations, such as the american carbon registry, verra, or the climate action registry, and (2) have verified social and environmental benefits, like local employment opportunities and biodiversity protection.","['natural resources', 'philanthropy', 'transparancy', 'emissions', 'diversity and inclusion', 'board accountability', 'pollution', 'corporate compliance', 'health and safety', 'training and education']","[0.3689956314993789, 0.30227086370633705, 0.12402790889399747, 0.09390199589079089, 0.05689143978777887, 0.03564081881104473, 0.011527487292329858, 0.004289319337193035, 0.0017726659489831578, 0.0006818688321660648]","['E', 'S', 'G', 'E', 'S', 'G', 'E', 'G', 'S', 'S']"
"for example, in 2021 we supported a reforestation project in south asia providing new sources of income for small farmers, a tropical rainforest project in latin america providing local employment and education opportunities, and a temperate rainforest project in the us pacific northwest protecting local biodiversity in cooperation with the alaska native village corporation.","['natural resources', 'philanthropy', 'diversity and inclusion', 'transparancy', 'training and education', 'board accountability', 'emissions', 'health and safety', 'corporate compliance', 'pollution']","[0.32792750918711105, 0.269020144657469, 0.2660948052392824, 0.08322927892779161, 0.04110477719929795, 0.008622698078770233, 0.001874037205403491, 0.0009356797099083819, 0.0008897277760807914, 0.00030134201888511945]","['E', 'S', 'S', 'G', 'S', 'G', 'E', 'S', 'G', 'E']"
focusing beyond our corporate footprint airbnb is also working with our global community of hosts and guests to help reduce emissions for stays and experiences on our platform.,"['emissions', 'pollution', 'transparancy', 'philanthropy', 'natural resources', 'diversity and inclusion', 'board accountability', 'health and safety', 'training and education', 'corporate compliance']","[0.33407330182285416, 0.21335343886004757, 0.13837336594748478, 0.12495374445226685, 0.0904470748389088, 0.04147274560811458, 0.04067447311262762, 0.008381159130660528, 0.006197222496023421, 0.002073473731011664]","['E', 'E', 'G', 'S', 'E', 'S', 'G', 'S', 'S', 'G']"
"these efforts build on prior work, including piloting ways to help our hosts switch to renewables through partnerships with organizations including arcadia in the us and ovo in uk, helping improve the energy efficiency of hosts homes, creating educational resources to help them host more sustainably, and providing localized tips for being a responsible and sustainable traveler in countries like mexico and costa rica.","['training and education', 'natural resources', 'emissions', 'transparancy', 'philanthropy', 'diversity and inclusion', 'board accountability', 'pollution', 'corporate compliance', 'health and safety']","[0.3083594796885928, 0.23431090094308935, 0.16642032901821216, 0.10741575616243415, 0.08215421191783531, 0.044728970055950126, 0.028555765132303502, 0.014602175871531774, 0.007168043159636698, 0.006284368050414192]","['S', 'E', 'E', 'G', 'S', 'S', 'G', 'E', 'G', 'S']"
we look forward to sharing more details in the future.,"['diversity and inclusion', 'natural resources', 'transparancy', 'philanthropy', 'corporate compliance', 'emissions', 'board accountability', 'training and education', 'health and safety', 'pollution']","[0.19577553659042346, 0.17119822843345844, 0.1317475924571718, 0.13090766272598744, 0.1006039469267262, 0.08657850253340817, 0.07694035205923853, 0.057456709044006314, 0.03605413121301004, 0.012737338016569622]","['S', 'E', 'G', 'S', 'G', 'E', 'G', 'S', 'S', 'E']"
"while we have taken significant steps in the first year of our net zero commitment, we must continue   taking meaningful actions to help address the climate crisis - and we will do so in collaboration with our employees, our partners, and our community.","['emissions', 'pollution', 'corporate compliance', 'transparancy', 'board accountability', 'natural resources', 'philanthropy', 'diversity and inclusion', 'training and education', 'health and safety']","[0.38830054643379236, 0.35331791743931307, 0.08007608652449692, 0.0683420218089905, 0.04029495738153773, 0.03367124009632732, 0.013478865719820795, 0.013146316917580924, 0.0060162921345707256, 0.003355755543569647]","['E', 'E', 'G', 'G', 'G', 'E', 'S', 'S', 'S', 'S']"
"https://news.airbnb.com/protecting-tropical-forests-to-address-the-climate-crisis/ https://leafcoalition.org/ https://www.airbnb.co.uk/resources/hosting-homes/t/sustainability-49 https://www.airbnb.com/resources/hosting-homes/a/a-beginners-guide-to-sustainable-hosting-344 https://www.youtube.com/watch?v=sl_te764poa https://www.airbnb.com/d/costaricaportierra 8 forward-looking statements this release contains forward-looking statements within the meaning of the private securities litigation reform act of 1995, including statements regarding airbnbs climate-related plans, net zero emissions commitments, energy efficiency strategies, and sustainability targets, goals, commitments, and programs.","['emissions', 'natural resources', 'pollution', 'transparancy', 'corporate compliance', 'training and education', 'board accountability', 'diversity and inclusion', 'health and safety', 'philanthropy']","[0.35746761915628716, 0.32719478796885926, 0.12067807105080566, 0.08801148667383424, 0.0432670529081516, 0.024686272420232806, 0.01840014521802836, 0.012517762906490898, 0.004034319412232996, 0.0037424822850769977]","['E', 'E', 'E', 'G', 'G', 'S', 'G', 'S', 'S', 'S']"
"in some cases, forward-looking statements can be identified by terms such as may, will, should, possible, expect, plan, predict, forecast, could, target, believe, potential, anticipate, estimate, continue, committed to, goal, seek, or other similar terms or expressions that concern airbnbs expectations, strategy, plans, or intentions.","['emissions', 'transparancy', 'board accountability', 'pollution', 'corporate compliance', 'diversity and inclusion', 'natural resources', 'philanthropy', 'training and education', 'health and safety']","[0.3565939526180053, 0.1591863448360379, 0.1300225362745965, 0.10953412228933367, 0.10492702225424971, 0.06055850082237098, 0.02832047711109658, 0.027195776892919167, 0.012003348998532592, 0.01165791790285755]","['E', 'G', 'G', 'E', 'G', 'S', 'E', 'S', 'S', 'S']"
forward-looking statements represent airbnbs current expectations regarding future events and are subject to known and unknown risks and uncertainties that could cause actual results to differ materially from those implied by the forward-looking statements.,"['transparancy', 'emissions', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'natural resources', 'pollution', 'health and safety', 'philanthropy', 'training and education']","[0.22565383931487365, 0.2157804398983883, 0.12462835336176013, 0.11355562519432195, 0.11183775507429887, 0.07631502812073489, 0.05931580151373489, 0.03577395887733161, 0.023389284702527224, 0.013749913942028468]","['G', 'E', 'G', 'G', 'S', 'E', 'E', 'S', 'S', 'S']"
"among those risks and uncertainties are airbnbs ability to achieve the strategic targets, goals and commitments set forth in this release and unexpected delays, difficulties, and expenses in executing against such targets, goals and commitments, market conditions, risks that governmental or other third parties may subsequently define terms used in this release in a manner inconsistent with our usage of them, and risks relating to airbnbs business, including those described in periodic reports that airbnb files from time to time with the u.s. securities and exchange commission (the sec), including those discussed under risk factors, managements discussion and analysis of financial condition and results of operations, and special note regarding forward-looking statements in our annual report on form 10-k filed with the sec on february 25, 2022 and any subsequent quarterly reports on form 10-q filed with the sec.","['transparancy', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'emissions', 'pollution', 'health and safety', 'natural resources', 'philanthropy', 'training and education']","[0.4901875286056237, 0.250902884896317, 0.06910750668978244, 0.04941476767429706, 0.04737895343431995, 0.03377228024726437, 0.02470402242437547, 0.019410284255652197, 0.010325380599452523, 0.004796391172915237]","['G', 'G', 'G', 'S', 'E', 'E', 'S', 'E', 'S', 'S']"
any of these factors could cause actual results to differ materially from the expectations we express or imply in this release.,"['transparancy', 'natural resources', 'corporate compliance', 'emissions', 'diversity and inclusion', 'health and safety', 'board accountability', 'pollution', 'training and education', 'philanthropy']","[0.23038913951356835, 0.20075708472092613, 0.16947208604373729, 0.13203476090604682, 0.08571067943510897, 0.06942417033558375, 0.053009509307632645, 0.02576966735113401, 0.019727431627372335, 0.013705470758889714]","['G', 'E', 'G', 'E', 'S', 'S', 'G', 'E', 'S', 'S']"
"airbnb cannot provide assurances that the results reflected or implied by any forward-looking statement will be realized or, even if substantially realized, that those results will have the forecasted or expected consequences and effects.","['transparancy', 'board accountability', 'emissions', 'corporate compliance', 'natural resources', 'diversity and inclusion', 'health and safety', 'pollution', 'philanthropy', 'training and education']","[0.477505382054518, 0.14152972714675927, 0.1005222520242248, 0.08483192598177841, 0.060353003125172514, 0.052044329852920505, 0.04508764047636459, 0.02488599142964443, 0.008870933437821174, 0.004368814470796321]","['G', 'G', 'E', 'G', 'E', 'S', 'S', 'E', 'S', 'S']"
"the forward-looking statements included in this release speak only as of the date of this release, and airbnb expressly disclaims any obligation to update the statements included in this release for subsequent developments, except as may be required by law.","['transparancy', 'diversity and inclusion', 'corporate compliance', 'emissions', 'board accountability', 'natural resources', 'health and safety', 'pollution', 'philanthropy', 'training and education']","[0.2635620640758999, 0.17309796244543518, 0.14726625710658806, 0.1177289539906506, 0.10499759548827553, 0.057552689363940646, 0.04897943275256034, 0.04286008803451607, 0.022698612172887028, 0.02125634456924671]","['G', 'S', 'G', 'E', 'G', 'E', 'S', 'E', 'S', 'S']"
9 appendix a: airbnb corporate greenhouse gas emissions data 2019-2021 ghg emissions metric definition of metric / assessment criteria metric quantity - 2019 (mtco2e) metric quantity - 2020 (mtco2e) metric quantity - 2020 (mtco2e) scope 1: natural gas direct emissions from stationary combustion (natural gas).,"['emissions', 'pollution', 'natural resources', 'corporate compliance', 'board accountability', 'transparancy', 'diversity and inclusion', 'health and safety', 'training and education', 'philanthropy']","[0.35976125357092076, 0.35297581663241884, 0.1468169098900622, 0.04983170114574642, 0.04441716791799604, 0.01859338754461772, 0.01671468116512197, 0.009230350057793794, 0.0009209096397995367, 0.0007378224355227142]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
815 844 807 scope 2: electricity (location-based) indirect emissions from purchased electricity (location-based).,"['emissions', 'pollution', 'natural resources', 'transparancy', 'health and safety', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.40977605547154644, 0.3981620068538275, 0.09625513301783538, 0.04140146930350207, 0.04057353064206134, 0.010764218207155663, 0.0021192291804670313, 0.0005610097911448794, 0.00025201954850778756, 0.00013532798395187378]","['E', 'E', 'E', 'G', 'S', 'G', 'G', 'S', 'S', 'S']"
"6,237 5,189 4,874 scope 2: electricity (market-based) indirect emissions from purchased electricity (market-based).","['emissions', 'pollution', 'natural resources', 'transparancy', 'health and safety', 'corporate compliance', 'diversity and inclusion', 'board accountability', 'philanthropy', 'training and education']","[0.45514784866760677, 0.4332349994765873, 0.06493566677626635, 0.029285554450841005, 0.010853618137843165, 0.0030177967963356095, 0.0018325921238573663, 0.0013788675063853358, 0.00022386324945514557, 8.919281482200969e-05]","['E', 'E', 'E', 'G', 'S', 'G', 'S', 'G', 'S', 'S']"
"6,358 5,239 0 scope 3, category 1: purchased goods and services indirect emissions from the goods and services airbnb purchases from other entities.","['emissions', 'pollution', 'transparancy', 'health and safety', 'natural resources', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3146238550604456, 0.30271521523709927, 0.20543244353321932, 0.08090287366069926, 0.07206209563068226, 0.014820620601859676, 0.005403573827074451, 0.0035982195720192815, 0.0003254114221918395, 0.00011569145470906231]","['E', 'E', 'G', 'S', 'E', 'G', 'G', 'S', 'S', 'S']"
"353,384 200,942 248,816 scope 3, category 2: capital goods indirect emissions from the capital goods airbnb purchases from other entities.","['emissions', 'pollution', 'transparancy', 'natural resources', 'health and safety', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.36812269506084744, 0.358332939003274, 0.1614829688175613, 0.05284409106948973, 0.020837369224907493, 0.02042318170037802, 0.00986408079921766, 0.007563647514180387, 0.00041582226288719437, 0.00011320454725675567]","['E', 'E', 'G', 'E', 'S', 'G', 'G', 'S', 'S', 'S']"
"2,026 1,720 2,080 scope 3, category 3: fuel- and energy-related activities (not included in scope 1 or scope 2) indirect emissions from natural gas leakage that occur as a result of natural gas usage for heating, and transmission & distribution (t&d) losses that occur as a result of electricity usage.","['emissions', 'pollution', 'natural resources', 'diversity and inclusion', 'transparancy', 'board accountability', 'corporate compliance', 'health and safety', 'philanthropy', 'training and education']","[0.32754824715886643, 0.3178211473170323, 0.30855112075207675, 0.02364441537994317, 0.017156525825293662, 0.002606716082544689, 0.0017170587187663722, 0.0008042488975080551, 9.761983586273537e-05, 5.290003210579803e-05]","['E', 'E', 'E', 'S', 'G', 'G', 'G', 'S', 'S', 'S']"
"756 645 633 scope 3, category 5: waste generated in operations indirect emissions generated from third- party disposal of waste, which includes waste disposed in landfills and waste recycled.","['emissions', 'pollution', 'natural resources', 'transparancy', 'corporate compliance', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3437499103741433, 0.3293494000491532, 0.1447850172785448, 0.1087654844647272, 0.02789018686677504, 0.023883851279718094, 0.014236685330671212, 0.006178706844348725, 0.0007454480952395736, 0.00041530941667883205]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
"975 168 33 scope 3, category 6: business travel indirect emissions from employee travel for business.","['emissions', 'pollution', 'corporate compliance', 'transparancy', 'board accountability', 'health and safety', 'diversity and inclusion', 'natural resources', 'training and education', 'philanthropy']","[0.321520245318193, 0.29992390285478293, 0.21713311642407676, 0.12533083157501623, 0.024170577953035694, 0.010169994039645325, 0.0011274263732041127, 0.0004648844051928965, 9.014810148199584e-05, 6.887295537100941e-05]","['E', 'E', 'G', 'G', 'G', 'S', 'S', 'E', 'S', 'S']"
"21,463 2,605 220 scope 3, category 7: employee commuting indirect emissions from employees commuting and emissions from heating and electricity usage while teleworking.","['emissions', 'pollution', 'natural resources', 'transparancy', 'health and safety', 'corporate compliance', 'board accountability', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.38077130364307965, 0.371946414550208, 0.1475658373289525, 0.05703237282858012, 0.02034905829075597, 0.014747467663911653, 0.00585539818737677, 0.0014244428873423998, 0.00021600760374822152, 9.169701604473892e-05]","['E', 'E', 'E', 'G', 'S', 'G', 'G', 'S', 'S', 'S']"
"8,758 3,472 2,889 scope 3 - category 8: upstream leased assets indirect emissions from natural gas usage and leakage and electricity usage and t&d losses associated with locations that are leased by airbnb and that are not already included in scope 1 or scope 2.","['emissions', 'natural resources', 'pollution', 'transparancy', 'corporate compliance', 'board accountability', 'health and safety', 'diversity and inclusion', 'philanthropy', 'training and education']","[0.3161038887208724, 0.31185817048913095, 0.3111449583694461, 0.04409143017461349, 0.004708437936740951, 0.004345683130503936, 0.0039499049088881615, 0.0035089691401970083, 0.00022022534914945357, 6.833178045751649e-05]","['E', 'E', 'E', 'G', 'G', 'G', 'S', 'S', 'S', 'S']"
423 374 196  we engaged an external third party to provide limited assurance over these metrics.,"['corporate compliance', 'board accountability', 'transparancy', 'diversity and inclusion', 'emissions', 'health and safety', 'natural resources', 'philanthropy', 'pollution', 'training and education']","[0.2181074876445437, 0.17920388272063223, 0.1731612906546301, 0.11449924921543979, 0.09568402971228289, 0.08918677229547071, 0.07167771462981239, 0.026976089409627285, 0.017799806224242043, 0.013703677493318854]","['G', 'G', 'G', 'S', 'E', 'S', 'E', 'S', 'E', 'S']"
https://investors.airbnb.com/pwc-assurance-report 10,"['corporate compliance', 'board accountability', 'transparancy', 'diversity and inclusion', 'health and safety', 'emissions', 'natural resources', 'training and education', 'pollution', 'philanthropy']","[0.41247644886990087, 0.25392200767368556, 0.11231874091721468, 0.09368451507538961, 0.0652871793605565, 0.024935819754350094, 0.016326457138722085, 0.012717900550452922, 0.005569798934696744, 0.0027611317250309563]","['G', 'G', 'G', 'S', 'S', 'E', 'E', 'S', 'E', 'S']"
